student_id,rating,research
1,4,1
2,4,1
3,3,1
4,3,1
5,2,0
6,5,1
7,3,1
8,2,0
9,1,0
10,3,0
11,3,1
12,4,1
13,4,1
14,3,1
15,3,1
16,3,0
17,3,0
18,3,1
19,3,0
20,3,0
21,3,1
22,4,0
23,5,1
24,5,1
25,5,1
26,5,1
27,5,0
28,2,1
29,1,0
30,2,0
31,2,1
32,3,1
33,4,1
34,5,1
35,5,1
36,5,1
37,2,0
38,1,0
39,1,0
40,2,0
41,3,1
42,2,1
43,2,1
44,4,0
45,5,1
46,5,1
47,5,1
48,5,0
49,3,1
50,4,1
51,3,1
52,2,1
53,4,1
54,4,1
55,3,0
56,3,0
57,3,0
58,2,0
59,1,1
60,2,0
61,2,0
62,3,0
63,2,1
64,2,1
65,3,0
66,4,0
67,3,0
68,2,1
69,3,1
70,4,1
71,5,1
72,5,1
73,5,1
74,4,1
75,3,0
76,2,1
77,3,1
78,2,0
79,2,1
80,1,0
81,3,1
82,4,1
83,5,1
84,5,1
85,5,1
86,4,0
87,3,0
88,2,0
89,3,0
90,4,1
91,2,1
92,3,0
93,2,0
94,2,1
95,3,0
96,4,0
97,2,0
98,3,1
99,4,1
100,3,1
101,3,1
102,2,0
103,2,0
104,2,0
105,3,1
106,3,1
107,4,1
108,4,1
109,5,1
110,5,0
111,5,0
112,4,1
113,3,1
114,2,0
115,3,1
116,4,1
117,3,0
118,4,0
119,2,0
120,5,1
121,5,1
122,5,1
123,4,0
124,3,0
125,4,0
126,3,1
127,3,1
128,3,1
129,3,1
130,5,1
131,5,1
132,5,0
133,5,0
134,5,0
135,5,1
136,4,1
137,3,0
138,2,1
139,2,1
140,1,0
141,2,1
142,2,1
143,5,1
144,4,1
145,2,1
146,2,1
147,3,0
148,3,1
149,4,1
150,2,1
151,4,1
152,5,1
153,5,1
154,3,0
155,3,0
156,3,0
157,3,0
158,2,0
159,2,0
160,1,0
161,1,0
162,1,0
163,3,0
164,3,0
165,4,1
166,5,0
167,3,0
168,3,0
169,2,1
170,2,0
171,2,1
172,5,1
173,4,1
174,4,1
175,4,1
176,4,1
177,4,1
178,3,0
179,3,0
180,3,0
181,3,0
182,2,0
183,2,0
184,3,0
185,2,0
186,4,1
187,3,1
188,5,1
189,5,1
190,5,1
191,5,1
192,5,1
193,5,1
194,5,1
195,3,0
196,2,1
197,2,0
198,2,0
199,3,0
200,3,0
201,3,1
202,2,1
203,5,1
204,5,1
205,3,0
206,2,0
207,2,0
208,3,1
209,2,0
210,3,1
211,4,1
212,4,1
213,4,1
214,5,1
215,4,1
216,5,1
217,4,1
218,4,1
219,4,1
220,3,0
221,3,0
222,3,0
223,4,0
224,2,0
225,2,0
226,2,0
227,2,0
228,2,0
229,3,0
230,4,1
231,3,0
232,3,1
233,2,0
234,2,0
235,5,1
236,5,1
237,4,1
238,5,1
239,3,0
240,1,0
241,1,0
242,2,0
243,3,1
244,3,1
245,2,0
246,4,1
247,3,0
248,2,0
249,3,1
250,3,1
251,3,1
252,2,0
253,2,1
254,4,1
255,4,0
256,4,0
257,3,0
258,3,1
259,4,1
260,4,1
261,5,1
262,3,0
263,2,1
264,3,1
265,2,1
266,3,0
267,2,0
268,3,1
269,4,0
270,4,0
271,2,1
272,2,0
273,1,0
274,1,1
275,1,0
276,3,1
277,5,1
278,2,0
279,2,0
280,2,0
281,3,1
282,3,1
283,3,1
284,3,1
285,4,1
286,5,1
287,5,1
288,5,1
289,4,0
290,3,0
291,2,0
292,2,0
293,2,0
294,1,1
295,2,1
296,2,0
297,3,0
298,3,0
299,3,1
300,3,0
