student_id,rating,research
301,2,0
302,2,0
303,2,1
304,3,1
305,2,0
306,3,1
307,3,1
308,4,1
309,3,0
310,4,0
311,3,1
312,4,1
313,4,1
314,3,0
315,2,0
316,2,0
317,2,0
318,1,0
319,3,1
320,4,1
321,3,1
322,3,1
323,2,0
324,2,0
325,3,0
326,3,1
327,3,0
328,2,0
329,4,1
330,2,0
331,3,1
332,2,1
333,3,1
334,3,1
335,4,1
336,4,1
337,3,0
338,5,1
339,5,1
340,5,1
341,3,1
342,3,1
343,3,0
344,2,0
345,2,0
346,1,0
347,2,0
348,1,0
349,1,0
350,3,0
351,3,1
352,4,1
353,2,1
354,3,0
355,2,0
356,2,0
357,3,1
358,2,1
359,2,0
360,2,0
361,3,1
362,4,1
363,5,1
364,2,0
365,3,1
366,4,1
367,3,1
368,1,0
369,1,0
370,1,1
371,2,0
372,3,1
373,4,1
374,3,1
375,2,0
376,2,0
377,2,0
378,1,0
379,1,0
380,1,1
381,3,1
382,3,1
383,4,1
384,3,0
385,4,1
386,5,1
387,2,0
388,2,0
389,2,0
390,3,1
391,2,0
392,3,0
393,4,1
394,2,0
395,4,1
396,3,1
397,3,1
398,4,1
399,3,0
400,4,1
401,2,0
402,2,0
403,3,1
404,4,1
405,3,1
406,3,0
407,4,1
408,3,1
409,3,1
410,1,0
411,1,0
412,2,0
413,4,1
414,3,1
415,4,1
416,4,1
417,3,0
418,3,0
419,2,0
420,2,1
421,3,0
422,3,1
423,4,1
424,5,1
425,5,1
426,5,1
427,3,0
428,3,1
429,2,0
430,5,1
431,3,1
432,2,1
433,4,1
434,4,0
435,3,0
436,2,0
437,1,1
438,1,1
439,1,1
440,2,0
441,2,0
442,1,1
443,4,1
444,5,1
445,5,1
446,5,1
447,4,1
448,3,1
449,2,0
450,3,0
451,4,1
452,4,1
453,4,1
454,3,1
455,2,0
456,2,0
457,2,0
458,1,0
459,1,1
460,4,1
461,4,1
462,3,1
463,4,0
464,3,0
465,2,0
466,4,0
467,4,1
468,5,1
469,4,1
470,4,1
471,5,1
472,3,0
473,4,1
474,2,0
475,4,1
476,3,0
477,3,0
478,4,0
479,3,1
480,4,1
481,3,1
482,4,1
483,4,1
484,5,0
485,3,1
486,2,1
487,3,0
488,4,0
489,3,1
490,3,0
491,2,1
492,4,0
493,4,1
494,2,1
495,3,1
496,5,1
497,5,1
498,5,1
499,4,0
500,4,0
